 Tamanho da Mensagem;Tempo de Resposta;;
12144;21,015122834;;50,34min para terminar
89100;109,021371052;;
73701;90,019844264;;
32696;43,017328502;;
67292;83,018704356;;
49999;63,016558622;;
56810;71,0147244;;
13822;22,010014402;;
87615;106,017818298;;
86725;105,019079194;;
13038;21,010263459;;
35157;46,011996625;;
15223;23,009477741;;
34424;45,010876526;;
15113;23,012228117;;
5049;12,011828278;;
21714;31,011028865;;
47596;60,01200752;;
42902;55,012032414;;
1099;7,008870793;;
2930;9,009422452;;
33260;44,012110763;;
19662;28,009102854;;
90018;109,019304234;;
93419;113,015668079;;
32631;43,013976271;;
78898;96,016242652;;
92324;112,016021773;;
28272;38,012294038;;
70279;86,014609233;;
16496;25,008952532;;
63912;79,014327532;;
83516;102,01636256;;
23771;33,016307854;;
44370;57,013696446;;
34088;45,011827113;;
54130;68,013281003;;
49804;63,015055149;;
46725;59,013711993;;
81084;98,014441568;;
42360;54,012107671;;
59247;74,013764902;;
6067;13,008616212;;
86880;106,015143442;;
14721;23,012146647;;
88745;108,015525725;;
80099;97,018221411;;
59968;75,013903212;;
92503;112,022074504;;
19972;29,010268607;;
