Tamanho da Mensagem;Tempo de Resposta
0;0,10981833404426017
5000;0,108049997635287
10000;0,11645933094190195
15000;0,1247935925536867
20000;0,09798562762841707
25000;0,11441990356237432
30000;0,1099587445520825
35000;0,08434357252170815
40000;0,1131151995468284
45000;0,11228733298590358
50000;0,13941852121515202
55000;0,11051621514567359
60000;0,10840241391128431
65000;0,11495582763774885
70000;0,1590280200675627
75000;0,11785509456310271
80000;0,146225646576531
85000;0,16740537897090232
90000;0,13750351785099604
95000;0,13888259855815144
100000;0,1476999569086656
